term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
1975,92,Brennan,BRN,-2.602,0.305,-2.592,-3.223,-2.023
1976,92,Brennan,BRN,-2.891,0.327,-2.88,-3.55,-2.281
1977,92,Brennan,BRN,-3.007,0.352,-2.999,-3.722,-2.335
1978,92,Brennan,BRN,-2.992,0.358,-2.982,-3.713,-2.313
1979,92,Brennan,BRN,-2.955,0.354,-2.946,-3.677,-2.291
1980,92,Brennan,BRN,-2.806,0.361,-2.793,-3.558,-2.134
1981,92,Brennan,BRN,-2.787,0.359,-2.78,-3.508,-2.111
1982,92,Brennan,BRN,-2.626,0.371,-2.615,-3.385,-1.936
1983,92,Brennan,BRN,-2.933,0.37,-2.923,-3.7,-2.247
1984,92,Brennan,BRN,-3.141,0.386,-3.13,-3.933,-2.421
1985,92,Brennan,BRN,-3.245,0.402,-3.233,-4.069,-2.492
1986,92,Brennan,BRN,-3.506,0.404,-3.487,-4.338,-2.764
1987,92,Brennan,BRN,-3.591,0.441,-3.579,-4.496,-2.778
1988,92,Brennan,BRN,-3.691,0.464,-3.669,-4.652,-2.84
1989,92,Brennan,BRN,-3.732,0.517,-3.714,-4.81,-2.777
1994,110,Breyer,BRY,-0.506,0.248,-0.5,-1.014,-0.046
1995,110,Breyer,BRY,-0.741,0.238,-0.737,-1.224,-0.285
1996,110,Breyer,BRY,-0.991,0.235,-0.989,-1.474,-0.545
1997,110,Breyer,BRY,-1.067,0.248,-1.06,-1.573,-0.603
1998,110,Breyer,BRY,-1.058,0.249,-1.052,-1.556,-0.579
1999,110,Breyer,BRY,-1.049,0.244,-1.041,-1.545,-0.587
2000,110,Breyer,BRY,-1.412,0.255,-1.407,-1.917,-0.931
2001,110,Breyer,BRY,-1.426,0.264,-1.42,-1.958,-0.916
2002,110,Breyer,BRY,-1.398,0.278,-1.392,-1.971,-0.875
2003,110,Breyer,BRY,-1.312,0.265,-1.31,-1.85,-0.814
2004,110,Breyer,BRY,-1.198,0.273,-1.191,-1.752,-0.691
2005,110,Breyer,BRY,-1.419,0.278,-1.412,-1.977,-0.892
2006,110,Breyer,BRY,-1.509,0.27,-1.502,-2.051,-0.996
2007,110,Breyer,BRY,-1.399,0.272,-1.396,-1.949,-0.877
2008,110,Breyer,BRY,-1.176,0.254,-1.168,-1.701,-0.705
2009,110,Breyer,BRY,-1.271,0.262,-1.266,-1.793,-0.764
2010,110,Breyer,BRY,-1.318,0.266,-1.312,-1.857,-0.815
2011,110,Breyer,BRY,-1.272,0.274,-1.263,-1.829,-0.765
2012,110,Breyer,BRY,-1.213,0.296,-1.203,-1.824,-0.666
2013,110,Breyer,BRY,-1.203,0.367,-1.187,-1.963,-0.511
1969,99,Burger,BURG,2.015,0.385,2,1.303,2.83
1970,99,Burger,BURG,2.255,0.341,2.238,1.628,2.97
1971,99,Burger,BURG,2.504,0.305,2.492,1.939,3.136
1972,99,Burger,BURG,2.323,0.289,2.312,1.778,2.908
1973,99,Burger,BURG,2.273,0.282,2.262,1.744,2.846
1974,99,Burger,BURG,2.188,0.283,2.184,1.653,2.771
1975,99,Burger,BURG,2.038,0.27,2.03,1.522,2.588
1976,99,Burger,BURG,1.924,0.258,1.918,1.441,2.445
1977,99,Burger,BURG,1.597,0.245,1.592,1.133,2.083
1978,99,Burger,BURG,1.453,0.233,1.447,1.013,1.919
1979,99,Burger,BURG,1.213,0.216,1.206,0.81,1.651
1980,99,Burger,BURG,1.388,0.231,1.381,0.956,1.852
1981,99,Burger,BURG,1.499,0.224,1.491,1.079,1.953
1982,99,Burger,BURG,1.354,0.23,1.346,0.927,1.822
1983,99,Burger,BURG,1.539,0.25,1.532,1.069,2.051
1984,99,Burger,BURG,1.864,0.273,1.854,1.353,2.416
1985,99,Burger,BURG,2.004,0.314,1.995,1.421,2.647
1945,86,Burton,BURT,0.495,0.239,0.488,0.037,0.979
1946,86,Burton,BURT,0.555,0.192,0.553,0.188,0.942
1947,86,Burton,BURT,0.897,0.201,0.893,0.52,1.314
1948,86,Burton,BURT,0.967,0.202,0.961,0.585,1.381
1949,86,Burton,BURT,0.962,0.246,0.955,0.493,1.456
1950,86,Burton,BURT,0.984,0.233,0.979,0.546,1.454
1951,86,Burton,BURT,0.929,0.23,0.923,0.494,1.393
1952,86,Burton,BURT,1.229,0.233,1.221,0.791,1.701
1953,86,Burton,BURT,1.319,0.25,1.313,0.851,1.825
1954,86,Burton,BURT,1.289,0.251,1.281,0.813,1.8
1955,86,Burton,BURT,1.295,0.241,1.287,0.84,1.795
1956,86,Burton,BURT,1.281,0.223,1.274,0.871,1.735
1957,86,Burton,BURT,1.129,0.231,1.117,0.696,1.599
1937,72,Butler,BUT,1.828,0.381,1.807,1.156,2.632
1938,72,Butler,BUT,2.086,0.395,2.06,1.372,2.926
1941,83,Byrnes,BYR,-0.194,0.233,-0.192,-0.659,0.253
1937,77,Cardozo,CARD,-1.771,0.679,-1.726,-3.245,-0.609
1949,88,Clark,CLK,1.041,0.312,1.027,0.463,1.693
