term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
1984,104,O'Connor,OCON,1.456,0.232,1.452,1.019,1.926
1985,104,O'Connor,OCON,1.234,0.217,1.227,0.824,1.676
1986,104,O'Connor,OCON,1.329,0.204,1.322,0.945,1.751
1987,104,O'Connor,OCON,1.51,0.234,1.506,1.055,1.975
1988,104,O'Connor,OCON,1.441,0.229,1.434,1.012,1.904
1989,104,O'Connor,OCON,1.428,0.218,1.425,1.012,1.872
1990,104,O'Connor,OCON,1.011,0.209,1.006,0.616,1.436
1991,104,O'Connor,OCON,0.567,0.198,0.564,0.192,0.959
1992,104,O'Connor,OCON,0.704,0.212,0.699,0.299,1.131
1993,104,O'Connor,OCON,0.874,0.213,0.872,0.47,1.299
1994,104,O'Connor,OCON,0.663,0.213,0.658,0.262,1.086
1995,104,O'Connor,OCON,0.697,0.227,0.69,0.269,1.155
1996,104,O'Connor,OCON,0.816,0.224,0.811,0.395,1.268
1997,104,O'Connor,OCON,0.902,0.23,0.897,0.467,1.363
1998,104,O'Connor,OCON,0.773,0.23,0.764,0.335,1.236
1999,104,O'Connor,OCON,0.724,0.214,0.72,0.307,1.15
2000,104,O'Connor,OCON,0.48,0.199,0.476,0.097,0.882
2001,104,O'Connor,OCON,0.302,0.201,0.302,-0.09,0.706
2002,104,O'Connor,OCON,0.22,0.215,0.219,-0.196,0.64
2003,104,O'Connor,OCON,0.169,0.209,0.17,-0.239,0.575
2004,104,O'Connor,OCON,0.076,0.235,0.074,-0.38,0.54
2005,104,O'Connor,OCON,-0.039,0.364,-0.041,-0.762,0.676
1937,76,OJRoberts,OROB,-0.042,0.222,-0.045,-0.473,0.396
1938,76,OJRoberts,OROB,0.373,0.204,0.37,-0.012,0.786
1939,76,OJRoberts,OROB,1.031,0.228,1.027,0.593,1.489
1940,76,OJRoberts,OROB,1.722,0.273,1.718,1.202,2.279
1941,76,OJRoberts,OROB,1.935,0.329,1.925,1.32,2.619
1942,76,OJRoberts,OROB,2.204,0.361,2.188,1.547,2.937
1943,76,OJRoberts,OROB,2.58,0.387,2.565,1.869,3.373
1944,76,OJRoberts,OROB,2.94,0.415,2.92,2.17,3.797
1971,101,Powell,POW,1.513,0.27,1.505,1.016,2.06
1972,101,Powell,POW,1.302,0.214,1.295,0.901,1.74
1973,101,Powell,POW,1.254,0.204,1.248,0.88,1.669
1974,101,Powell,POW,1.146,0.213,1.141,0.743,1.573
1975,101,Powell,POW,0.96,0.184,0.955,0.61,1.33
1976,101,Powell,POW,0.719,0.174,0.716,0.388,1.072
1977,101,Powell,POW,0.461,0.178,0.459,0.114,0.817
1978,101,Powell,POW,0.803,0.187,0.8,0.445,1.177
1979,101,Powell,POW,0.808,0.18,0.805,0.464,1.172
1980,101,Powell,POW,0.82,0.197,0.814,0.442,1.221
1981,101,Powell,POW,0.888,0.188,0.885,0.529,1.264
1982,101,Powell,POW,1.095,0.197,1.09,0.717,1.493
1983,101,Powell,POW,0.954,0.193,0.949,0.59,1.343
1984,101,Powell,POW,0.676,0.196,0.674,0.294,1.07
1985,101,Powell,POW,0.792,0.181,0.788,0.451,1.157
1986,101,Powell,POW,0.755,0.183,0.753,0.407,1.13
1937,79,Reed,REED,-0.997,0.344,-0.991,-1.687,-0.351
1938,79,Reed,REED,-1.098,0.257,-1.091,-1.619,-0.608
1939,79,Reed,REED,-1.015,0.229,-1.01,-1.486,-0.577
1940,79,Reed,REED,-0.635,0.206,-0.633,-1.045,-0.246
1941,79,Reed,REED,-0.235,0.183,-0.233,-0.595,0.126
1942,79,Reed,REED,0.177,0.175,0.178,-0.163,0.518
1943,79,Reed,REED,0.028,0.175,0.03,-0.32,0.37
1944,79,Reed,REED,-0.208,0.162,-0.207,-0.529,0.105
1945,79,Reed,REED,-0.011,0.194,-0.013,-0.387,0.372
1946,79,Reed,REED,0.252,0.172,0.251,-0.082,0.587
1947,79,Reed,REED,0.562,0.181,0.561,0.217,0.925
1948,79,Reed,REED,0.703,0.193,0.699,0.329,1.095
1949,79,Reed,REED,1.073,0.254,1.071,0.574,1.575
1950,79,Reed,REED,1.182,0.254,1.176,0.704,1.694
1951,79,Reed,REED,1.222,0.252,1.213,0.752,1.74
1952,79,Reed,REED,1.3,0.251,1.292,0.828,1.815
1953,79,Reed,REED,1.483,0.263,1.473,0.993,2.014
1954,79,Reed,REED,1.493,0.26,1.484,1.005,2.019
1955,79,Reed,REED,1.093,0.256,1.081,0.62,1.623
1956,79,Reed,REED,0.875,0.306,0.865,0.308,1.512
1971,102,Rehnquist,REHN,3.597,0.361,3.591,2.917,4.327
1972,102,Rehnquist,REHN,3.973,0.392,3.962,3.215,4.753
1973,102,Rehnquist,REHN,4.23,0.417,4.222,3.44,5.076
1974,102,Rehnquist,REHN,4.317,0.45,4.31,3.464,5.223
1975,102,Rehnquist,REHN,4.414,0.464,4.405,3.525,5.351
1976,102,Rehnquist,REHN,4.367,0.487,4.358,3.455,5.348
1977,102,Rehnquist,REHN,4.313,0.497,4.304,3.377,5.31
1978,102,Rehnquist,REHN,4.318,0.493,4.303,3.395,5.318
1979,102,Rehnquist,REHN,4.331,0.48,4.32,3.447,5.314
1980,102,Rehnquist,REHN,4.174,0.486,4.153,3.27,5.17
1981,102,Rehnquist,REHN,4.026,0.481,4.01,3.136,5.014
1982,102,Rehnquist,REHN,3.937,0.464,3.919,3.075,4.894
1983,102,Rehnquist,REHN,3.869,0.444,3.857,3.044,4.777
1984,102,Rehnquist,REHN,3.677,0.423,3.665,2.872,4.529
1985,102,Rehnquist,REHN,3.476,0.401,3.46,2.727,4.289
1986,102,Rehnquist,REHN,3.231,0.38,3.216,2.535,4.011
1987,102,Rehnquist,REHN,2.821,0.378,2.811,2.114,3.589
1988,102,Rehnquist,REHN,2.682,0.349,2.669,2.032,3.4
1989,102,Rehnquist,REHN,2.495,0.328,2.485,1.891,3.169
1990,102,Rehnquist,REHN,2.244,0.314,2.237,1.662,2.889
1991,102,Rehnquist,REHN,1.953,0.3,1.943,1.403,2.567
1992,102,Rehnquist,REHN,1.891,0.299,1.884,1.327,2.493
1993,102,Rehnquist,REHN,1.708,0.292,1.699,1.148,2.298
1994,102,Rehnquist,REHN,1.706,0.283,1.7,1.174,2.278
1995,102,Rehnquist,REHN,1.676,0.286,1.666,1.139,2.258
1996,102,Rehnquist,REHN,1.538,0.283,1.528,1.007,2.114
1997,102,Rehnquist,REHN,1.484,0.284,1.479,0.945,2.067
1998,102,Rehnquist,REHN,1.695,0.282,1.687,1.153,2.254
1999,102,Rehnquist,REHN,1.596,0.285,1.588,1.05,2.184
2000,102,Rehnquist,REHN,1.61,0.268,1.607,1.104,2.152
2001,102,Rehnquist,REHN,1.364,0.265,1.356,0.872,1.897
2002,102,Rehnquist,REHN,1.196,0.274,1.191,0.689,1.764
2003,102,Rehnquist,REHN,1.365,0.288,1.359,0.829,1.958
2004,102,Rehnquist,REHN,1.48,0.339,1.47,0.83,2.176
2005,111,Roberts,ROBT,1.513,0.351,1.499,0.856,2.234
2006,111,Roberts,ROBT,1.528,0.296,1.517,0.98,2.138
2007,111,Roberts,ROBT,1.509,0.289,1.503,0.968,2.086
2008,111,Roberts,ROBT,1.564,0.283,1.556,1.038,2.144
2009,111,Roberts,ROBT,1.485,0.29,1.476,0.936,2.071
2010,111,Roberts,ROBT,1.546,0.285,1.541,1.008,2.134
2011,111,Roberts,ROBT,1.416,0.288,1.407,0.881,2.006
2012,111,Roberts,ROBT,1.405,0.298,1.394,0.844,2.012
2013,111,Roberts,ROBT,1.245,0.376,1.23,0.543,2.021
1942,85,Rutledge,RUT,-1.127,0.303,-1.119,-1.735,-0.552
1943,85,Rutledge,RUT,-1.167,0.235,-1.161,-1.646,-0.724
1944,85,Rutledge,RUT,-1.333,0.223,-1.326,-1.778,-0.918
1945,85,Rutledge,RUT,-1.155,0.257,-1.15,-1.679,-0.662
1946,85,Rutledge,RUT,-1.406,0.251,-1.395,-1.924,-0.94
1947,85,Rutledge,RUT,-1.742,0.271,-1.735,-2.296,-1.234
1948,85,Rutledge,RUT,-1.833,0.318,-1.822,-2.484,-1.248
1986,105,Scalia,SCAL,1.422,0.241,1.412,0.987,1.916
1987,105,Scalia,SCAL,1.572,0.25,1.565,1.099,2.083
1988,105,Scalia,SCAL,1.709,0.257,1.698,1.229,2.233
1989,105,Scalia,SCAL,1.889,0.269,1.88,1.387,2.441
1990,105,Scalia,SCAL,2.055,0.302,2.047,1.483,2.667
1991,105,Scalia,SCAL,2.374,0.313,2.362,1.791,3.009
1992,105,Scalia,SCAL,2.393,0.35,2.384,1.733,3.092
1993,105,Scalia,SCAL,2.469,0.367,2.459,1.794,3.225
1994,105,Scalia,SCAL,2.698,0.382,2.682,1.988,3.485
1995,105,Scalia,SCAL,2.947,0.393,2.939,2.218,3.761
1996,105,Scalia,SCAL,3.167,0.405,3.155,2.397,3.992
1997,105,Scalia,SCAL,3.251,0.423,3.24,2.453,4.1
1998,105,Scalia,SCAL,3.26,0.438,3.252,2.45,4.142
1999,105,Scalia,SCAL,3.371,0.43,3.364,2.57,4.238
2000,105,Scalia,SCAL,3.404,0.416,3.396,2.606,4.232
2001,105,Scalia,SCAL,3.295,0.413,3.289,2.511,4.128
2002,105,Scalia,SCAL,3.036,0.415,3.025,2.264,3.891
2003,105,Scalia,SCAL,2.837,0.414,2.819,2.065,3.683
2004,105,Scalia,SCAL,2.604,0.413,2.59,1.838,3.454
2005,105,Scalia,SCAL,2.579,0.406,2.571,1.807,3.399
2006,105,Scalia,SCAL,2.631,0.385,2.616,1.92,3.413
2007,105,Scalia,SCAL,2.559,0.374,2.547,1.864,3.324
2008,105,Scalia,SCAL,2.521,0.373,2.513,1.823,3.281
2009,105,Scalia,SCAL,2.489,0.372,2.476,1.789,3.25
2010,105,Scalia,SCAL,2.33,0.382,2.319,1.615,3.111
2011,105,Scalia,SCAL,2.275,0.386,2.257,1.57,3.08
2012,105,Scalia,SCAL,2,0.413,1.975,1.258,2.874
2013,105,Scalia,SCAL,1.953,0.473,1.929,1.086,2.93
2009,113,Sotomayor,SOTO,-1.441,0.331,-1.432,-2.123,-0.832
2010,113,Sotomayor,SOTO,-1.482,0.308,-1.467,-2.127,-0.915
2011,113,Sotomayor,SOTO,-1.551,0.322,-1.536,-2.221,-0.955
2012,113,Sotomayor,SOTO,-1.832,0.357,-1.817,-2.574,-1.171
2013,113,Sotomayor,SOTO,-1.922,0.43,-1.911,-2.788,-1.124
1990,107,Souter,SOUT,0.963,0.23,0.957,0.534,1.425
1991,107,Souter,SOUT,0.576,0.194,0.574,0.207,0.964
1992,107,Souter,SOUT,0.159,0.192,0.159,-0.217,0.534
1993,107,Souter,SOUT,-0.369,0.198,-0.366,-0.765,0.014
1994,107,Souter,SOUT,-0.533,0.211,-0.531,-0.952,-0.122
1995,107,Souter,SOUT,-0.576,0.222,-0.571,-1.025,-0.141
1996,107,Souter,SOUT,-0.619,0.219,-0.612,-1.067,-0.214
1997,107,Souter,SOUT,-0.779,0.236,-0.773,-1.257,-0.336
1998,107,Souter,SOUT,-0.908,0.241,-0.901,-1.4,-0.458
1999,107,Souter,SOUT,-1.266,0.248,-1.258,-1.777,-0.796
2000,107,Souter,SOUT,-1.413,0.26,-1.404,-1.94,-0.922
2001,107,Souter,SOUT,-1.533,0.275,-1.526,-2.089,-1.009
2002,107,Souter,SOUT,-1.608,0.293,-1.597,-2.192,-1.058
2003,107,Souter,SOUT,-1.739,0.294,-1.729,-2.332,-1.191
2004,107,Souter,SOUT,-1.708,0.294,-1.696,-2.301,-1.156
2005,107,Souter,SOUT,-1.598,0.295,-1.587,-2.194,-1.05
2006,107,Souter,SOUT,-1.482,0.289,-1.473,-2.069,-0.946
2007,107,Souter,SOUT,-1.509,0.304,-1.502,-2.121,-0.927
2008,107,Souter,SOUT,-1.526,0.327,-1.508,-2.21,-0.927
1975,103,Stevens,STEV,0.031,0.199,0.03,-0.361,0.417
1976,103,Stevens,STEV,-0.134,0.157,-0.136,-0.442,0.173
1977,103,Stevens,STEV,-0.024,0.167,-0.021,-0.354,0.305
1978,103,Stevens,STEV,-0.305,0.161,-0.302,-0.628,0.003
1979,103,Stevens,STEV,-0.281,0.158,-0.278,-0.591,0.024
1980,103,Stevens,STEV,-0.278,0.169,-0.275,-0.617,0.054
1981,103,Stevens,STEV,-0.268,0.162,-0.265,-0.603,0.037
1982,103,Stevens,STEV,-0.565,0.173,-0.561,-0.913,-0.226
1983,103,Stevens,STEV,-0.619,0.173,-0.616,-0.963,-0.282
1984,103,Stevens,STEV,-0.509,0.178,-0.505,-0.869,-0.173
1985,103,Stevens,STEV,-0.486,0.169,-0.481,-0.826,-0.164
1986,103,Stevens,STEV,-0.597,0.161,-0.594,-0.924,-0.286
1987,103,Stevens,STEV,-0.533,0.185,-0.532,-0.898,-0.181
1988,103,Stevens,STEV,-0.658,0.181,-0.651,-1.035,-0.325
1989,103,Stevens,STEV,-1.074,0.202,-1.068,-1.488,-0.694
1990,103,Stevens,STEV,-1.771,0.262,-1.769,-2.309,-1.275
1991,103,Stevens,STEV,-2.159,0.31,-2.151,-2.8,-1.577
1992,103,Stevens,STEV,-2.337,0.351,-2.325,-3.056,-1.677
1993,103,Stevens,STEV,-2.549,0.384,-2.539,-3.341,-1.832
1994,103,Stevens,STEV,-2.907,0.388,-2.897,-3.699,-2.159
1995,103,Stevens,STEV,-3.133,0.396,-3.124,-3.928,-2.388
1996,103,Stevens,STEV,-3.233,0.409,-3.222,-4.055,-2.465
1997,103,Stevens,STEV,-3.192,0.426,-3.188,-4.053,-2.378
1998,103,Stevens,STEV,-3.147,0.424,-3.131,-4.008,-2.36
1999,103,Stevens,STEV,-3.05,0.422,-3.037,-3.94,-2.256
2000,103,Stevens,STEV,-2.895,0.426,-2.884,-3.769,-2.099
2001,103,Stevens,STEV,-2.805,0.423,-2.79,-3.697,-2.02
2002,103,Stevens,STEV,-2.681,0.426,-2.673,-3.562,-1.889
2003,103,Stevens,STEV,-2.641,0.414,-2.626,-3.492,-1.883
2004,103,Stevens,STEV,-2.57,0.408,-2.555,-3.411,-1.821
2005,103,Stevens,STEV,-2.469,0.413,-2.452,-3.318,-1.709
2006,103,Stevens,STEV,-2.491,0.407,-2.472,-3.355,-1.741
2007,103,Stevens,STEV,-2.401,0.43,-2.381,-3.321,-1.624
2008,103,Stevens,STEV,-2.611,0.432,-2.586,-3.536,-1.842
2009,103,Stevens,STEV,-2.626,0.496,-2.604,-3.656,-1.736
1958,94,Stewart,STWT,0.896,0.207,0.893,0.5,1.307
1959,94,Stewart,STWT,0.661,0.175,0.657,0.328,1.017
1960,94,Stewart,STWT,0.535,0.177,0.532,0.196,0.89
1961,94,Stewart,STWT,0.484,0.19,0.484,0.12,0.865
1962,94,Stewart,STWT,0.654,0.186,0.65,0.296,1.025
1963,94,Stewart,STWT,0.49,0.187,0.486,0.133,0.864
1964,94,Stewart,STWT,0.657,0.219,0.653,0.246,1.1
1965,94,Stewart,STWT,0.844,0.214,0.84,0.437,1.269
1966,94,Stewart,STWT,0.921,0.196,0.919,0.545,1.31
1967,94,Stewart,STWT,0.481,0.192,0.477,0.11,0.868
1968,94,Stewart,STWT,0.679,0.2,0.674,0.302,1.082
1969,94,Stewart,STWT,0.634,0.203,0.628,0.245,1.048
1970,94,Stewart,STWT,0.609,0.179,0.605,0.269,0.964
1971,94,Stewart,STWT,0.209,0.155,0.207,-0.091,0.516
1972,94,Stewart,STWT,0.191,0.152,0.189,-0.103,0.495
1973,94,Stewart,STWT,0.548,0.159,0.547,0.243,0.863
1974,94,Stewart,STWT,0.413,0.178,0.412,0.07,0.769
1975,94,Stewart,STWT,0.537,0.166,0.535,0.215,0.869
1976,94,Stewart,STWT,0.492,0.166,0.488,0.177,0.833
1977,94,Stewart,STWT,0.323,0.173,0.326,-0.013,0.666
1978,94,Stewart,STWT,0.556,0.172,0.552,0.228,0.899
1979,94,Stewart,STWT,0.49,0.17,0.488,0.16,0.833
1980,94,Stewart,STWT,0.678,0.214,0.672,0.28,1.115
1937,74,Stone,STON,-0.818,0.263,-0.813,-1.357,-0.318
1938,74,Stone,STON,-0.783,0.228,-0.779,-1.243,-0.355
1939,74,Stone,STON,-0.779,0.206,-0.776,-1.194,-0.382
1940,74,Stone,STON,-0.326,0.195,-0.327,-0.708,0.051
1941,74,Stone,STON,0.395,0.192,0.394,0.023,0.772
1942,74,Stone,STON,0.268,0.176,0.269,-0.069,0.618
1943,74,Stone,STON,0.174,0.177,0.174,-0.172,0.524
1944,74,Stone,STON,0.521,0.176,0.519,0.188,0.874
1945,74,Stone,STON,0.582,0.266,0.576,0.082,1.136
1937,71,Sutherland,SUT,2.035,0.614,1.994,0.944,3.37
1991,108,Thomas,THOM,2.7,0.471,2.685,1.836,3.669
1992,108,Thomas,THOM,2.948,0.467,2.931,2.086,3.922
1993,108,Thomas,THOM,3.279,0.445,3.26,2.462,4.2
1994,108,Thomas,THOM,3.449,0.449,3.431,2.633,4.369
1995,108,Thomas,THOM,3.526,0.461,3.509,2.67,4.475
1996,108,Thomas,THOM,3.605,0.471,3.587,2.731,4.563
1997,108,Thomas,THOM,3.612,0.48,3.599,2.719,4.603
1998,108,Thomas,THOM,3.642,0.486,3.629,2.725,4.632
1999,108,Thomas,THOM,3.6,0.497,3.585,2.662,4.622
2000,108,Thomas,THOM,3.65,0.5,3.631,2.717,4.681
2001,108,Thomas,THOM,3.635,0.516,3.62,2.659,4.706
2002,108,Thomas,THOM,3.795,0.515,3.779,2.844,4.839
2003,108,Thomas,THOM,3.839,0.527,3.824,2.866,4.933
2004,108,Thomas,THOM,3.915,0.528,3.894,2.937,5.009
2005,108,Thomas,THOM,3.981,0.533,3.962,2.99,5.089
2006,108,Thomas,THOM,3.979,0.53,3.958,3.006,5.083
2007,108,Thomas,THOM,3.892,0.538,3.872,2.904,5.024
2008,108,Thomas,THOM,3.692,0.567,3.664,2.66,4.88
2009,108,Thomas,THOM,3.616,0.578,3.582,2.583,4.841
2010,108,Thomas,THOM,3.502,0.609,3.467,2.421,4.808
2011,108,Thomas,THOM,3.51,0.624,3.468,2.411,4.861
2012,108,Thomas,THOM,3.509,0.658,3.464,2.344,4.928
2013,108,Thomas,THOM,3.542,0.704,3.503,2.29,5.029
1946,87,Vinson,VIN,0.437,0.197,0.434,0.063,0.844
1947,87,Vinson,VIN,0.585,0.188,0.582,0.227,0.962
1948,87,Vinson,VIN,0.888,0.202,0.884,0.506,1.29
1949,87,Vinson,VIN,1.112,0.254,1.104,0.628,1.625
1950,87,Vinson,VIN,1.227,0.265,1.215,0.731,1.759
1951,87,Vinson,VIN,1.438,0.269,1.425,0.938,1.993
1952,87,Vinson,VIN,1.358,0.311,1.34,0.791,2.014
1953,90,Warren,WAR,-0.002,0.218,-0.002,-0.432,0.426
1954,90,Warren,WAR,-0.458,0.217,-0.453,-0.895,-0.045
1955,90,Warren,WAR,-1.075,0.224,-1.071,-1.527,-0.644
1956,90,Warren,WAR,-1.247,0.223,-1.241,-1.712,-0.828
1957,90,Warren,WAR,-1.513,0.225,-1.506,-1.969,-1.083
1958,90,Warren,WAR,-1.561,0.235,-1.555,-2.037,-1.115
1959,90,Warren,WAR,-1.527,0.236,-1.522,-2.004,-1.077
1960,90,Warren,WAR,-1.367,0.234,-1.365,-1.833,-0.92
1961,90,Warren,WAR,-1.46,0.24,-1.455,-1.946,-1.008
1962,90,Warren,WAR,-1.338,0.234,-1.328,-1.831,-0.901
1963,90,Warren,WAR,-1.284,0.236,-1.275,-1.764,-0.841
1964,90,Warren,WAR,-1.073,0.248,-1.068,-1.573,-0.599
1965,90,Warren,WAR,-1.161,0.238,-1.155,-1.64,-0.718
1966,90,Warren,WAR,-1.232,0.23,-1.227,-1.702,-0.803
1967,90,Warren,WAR,-1.236,0.253,-1.227,-1.756,-0.762
1968,90,Warren,WAR,-1.247,0.296,-1.237,-1.861,-0.698
1961,95,White,BW,-0.051,0.323,-0.049,-0.685,0.593
1962,95,White,BW,-0.045,0.18,-0.047,-0.39,0.313
1963,95,White,BW,0.02,0.169,0.021,-0.313,0.356
1964,95,White,BW,-0.074,0.199,-0.073,-0.471,0.316
1965,95,White,BW,-0.049,0.186,-0.049,-0.409,0.311
1966,95,White,BW,0.109,0.172,0.108,-0.225,0.449
1967,95,White,BW,0.194,0.177,0.192,-0.15,0.54
1968,95,White,BW,0.15,0.181,0.149,-0.197,0.517
1969,95,White,BW,0.289,0.187,0.289,-0.069,0.658
1970,95,White,BW,0.61,0.182,0.606,0.265,0.981
1971,95,White,BW,0.777,0.176,0.774,0.438,1.132
1972,95,White,BW,1.055,0.18,1.051,0.712,1.415
1973,95,White,BW,0.61,0.165,0.606,0.296,0.941
1974,95,White,BW,0.618,0.183,0.617,0.264,0.982
1975,95,White,BW,0.529,0.165,0.526,0.216,0.859
1976,95,White,BW,0.328,0.156,0.329,0.025,0.64
1977,95,White,BW,-0.072,0.17,-0.072,-0.408,0.262
1978,95,White,BW,-0.045,0.16,-0.043,-0.36,0.266
1979,95,White,BW,0.146,0.154,0.147,-0.156,0.444
1980,95,White,BW,0.068,0.168,0.067,-0.265,0.394
1981,95,White,BW,0.017,0.158,0.017,-0.292,0.328
1982,95,White,BW,0.467,0.169,0.466,0.143,0.801
1983,95,White,BW,0.751,0.185,0.746,0.401,1.123
1984,95,White,BW,0.956,0.2,0.952,0.574,1.358
1985,95,White,BW,1.169,0.198,1.165,0.792,1.572
1986,95,White,BW,1.198,0.19,1.193,0.843,1.589
1987,95,White,BW,0.955,0.205,0.949,0.561,1.367
1988,95,White,BW,1.03,0.193,1.023,0.662,1.42
1989,95,White,BW,0.795,0.182,0.791,0.451,1.162
1990,95,White,BW,0.556,0.187,0.554,0.2,0.931
1991,95,White,BW,0.527,0.191,0.524,0.158,0.905
1992,95,White,BW,0.513,0.23,0.511,0.077,0.982
1956,93,Whittaker,WHIT,1.044,0.292,1.034,0.503,1.641
1957,93,Whittaker,WHIT,1.075,0.215,1.067,0.673,1.518
1958,93,Whittaker,WHIT,1.375,0.227,1.368,0.953,1.835
1959,93,Whittaker,WHIT,1.486,0.228,1.479,1.058,1.947
1960,93,Whittaker,WHIT,1.309,0.249,1.304,0.852,1.815
1961,93,Whittaker,WHIT,1.242,0.343,1.232,0.603,1.937
